店舗名,電話番号,メールアドレス,都道府県,市区町村,番地,建物名,URL,SSL
"鶏と魚の居酒屋 うちわ
ＪＲ尼崎アミング店",050-5486-3152,,兵庫県,尼崎市,潮江1-22-1,アミング潮江ウエスト1番館1Ｆ,,False
"和彩旬彩 うおまん
尼崎キューズモール店",050-5485-1917,,兵庫県,尼崎市,潮江1-3-1,あまがさきキューズモール本館4F,,False
お肉と私の酒場 HASEGAWA,050-5484-2930,,兵庫県,尼崎市,潮江1-4-2,アミングプラスト2F,,False
炭火焼肉 GYUー,050-5486-3139,,兵庫県,尼崎市,長洲西通1-1-17,,,False
居楽屋白木屋 ＪＲ尼崎北口駅前店,06-6492-6788,,兵庫県,尼崎市,潮江1-4-5,アミング潮江プラストいきいき2F,,False
"美味しい炭火焼き居酒屋
金魚 JR尼崎駅前店",050-5485-1067,,兵庫県,尼崎市,潮江1-4-5,アミング潮江プラストいきいき3F,,False
"個室居酒屋 海鮮料理 さかなや道場
JR尼崎駅南口店",050-5485-2140,,兵庫県,尼崎市,長洲本通1-4-2,レジュールアッシュ尼崎駅前2F,,False
旬菜炉ばた焼 榮 SAKAE,050-5494-6091,,兵庫県,尼崎市,長洲西通1-1-20,,,False
WIRED 本店,050-5486-2112,,兵庫県,尼崎市,潮江1-4-2,アミング潮江プラスト2F,,False
中華バル 風×ふぅふぅ食堂,050-5486-1089,,兵庫県,尼崎市,潮江1-4-2-104,アミング潮江プラストA棟,,False
焼鳥と焼野菜 ぎんすけ ＪＲ尼崎店,050-5488-5091,,兵庫県,尼崎市,長洲中通1-2-1,,,False
浜焼きと創作料理 ざくろ 尼崎,050-5484-5129,,兵庫県,尼崎市,潮江1-8-1,コーポ潮江1F,,False
肉と鍋 さとり,050-5487-4125,,兵庫県,尼崎市,潮江1-22-1,アミング潮江ウエスト1F,,False
炭火の王様 sumibi king,050-5492-9588,,兵庫県,尼崎市,潮江1-16-1,アミングWEST1F,,False
Andante,050-5488-0733,,兵庫県,尼崎市,潮江1-11-1,ラヴェール尼崎108,,False
SAKE dining Toiro,050-5486-7225,,兵庫県,尼崎市,長洲中通り1-1-21,清川マンション1F,,False
肉とハイボール 居酒屋 YOU家,050-5485-1068,,兵庫県,尼崎市,長洲西通1-3-21,エヌイーワールド尼崎1F,,False
JR尼崎餃子酒場 満太郎,06-6423-7552,,兵庫県,尼崎市,長洲西通1-1-6,,,False
台湾小籠包あまがさきキューズモール店,050-5493-2518,,兵庫県,尼崎市,潮江1-3-1,あまがさきキューズモール4F,,False
炭火焼鳥 鶏秀,050-5488-9592,,兵庫県,尼崎市,長洲本通1-7-5,1F,,False
al ponte（アルポンテ）,050-5487-5589,,兵庫県,尼崎市,潮江1-4-2,1F,,False
鮨ラウンジ しょう菜,050-5492-2141,,兵庫県,尼崎市,長洲西通1-1-9,,,False
鯨と塩ミンチ 神戸 雄,050-5486-7514,,兵庫県,尼崎市,潮江1-20-1,アミング潮江イースト1F,,False
CORONA winebar and dining,050-5489-3804,,兵庫県,尼崎市,潮江1-21-1,1F,,False
cafe＆restaurant West River,050-5487-7941,,兵庫県,尼崎市,潮江1-4-1,ホテルヴィスキオ尼崎2F,,False
"お酒と食のペアリング スペインバル
アクスリー",050-5492-2260,,兵庫県,尼崎市,潮江1-36-10,COZYセイケン参番館1F,,False
三代目鳥メロ JR尼崎南口店,050-5492-3932,,兵庫県,尼崎市,長洲本通1-4-2,レジュールアッシュ尼崎駅前1F,,False
骨付鳥・博多水炊き 大和,050-5484-2968,,兵庫県,尼崎市,長洲西通1-2-21,,,False
"どうとんぼり神座
あまがさきキューズモール店",06-4950-7208,,兵庫県,尼崎市,潮江1-3-1,1Fフードコート,,False
カプリチョーザ あまがさきキューズモール店,050-5493-6134,,兵庫県,尼崎市,潮江1-3-1,あまがさきキューズモール4F,,False
